sea level,,5000 feet,,10000 feet,,15000 feet,,20000 feet,,25000 feet,,30000 feet,,35000 feet,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
0.40104701109652785,60.72664359861592,0.4026070874597304,51.21107266435987,0.40072187089846084,41.86851211072665,0.4023147595752297,34.256055363321806,0.40219842500894887,27.50865051903115,0.40383009187447805,22.14532871972318,0.40202839756592296,17.647058823529406,0.4019657558763871,14.013840830449823
0.42174859801932946,61.41868512110727,0.4388378475122301,52.59515570934257,0.43522849301992605,43.25259515570934,0.4333611740842382,34.94809688581316,0.447046892,28.71972318339101,0.4400489201765899,22.837370242214533,0.4485920534542418,18.33910034602077,0.448526429,14.532871972318333
0.44245018494213106,62.110726643598625,0.46817205584059185,53.979238754325266,0.46973511514139127,44.636678200692046,0.48166686552917315,36.67820069204153,0.4936165135425367,29.75778546712803,0.4797160243407709,23.529411764705884,0.500328123,19.03114186851211,0.5002595155709343,15.051903114186842
0.4614306168714951,62.97577854671281,0.502681661,55.53633218,0.5059658751938909,46.02076124567474,0.5213459014437418,38.06228373702423,0.5281171697888081,30.79584775086505,0.5193861114425486,24.394463667820077,0.5434464860995109,19.89619377,0.5468231714592531,15.743944636678208
0.4821381696694905,64.01384083044984,0.5337370242214533,56.747404844290664,0.5473779978522849,47.92387543252596,0.5644761961579764,39.61937716262976,0.5712414986278488,32.00692041522491,0.5590561985443265,25.259515570934255,0.5865618661257607,20.588235294117652,0.6140824483951797,16.782006920415228
0.5080181362605894,65.05190311418686,0.5613441116811837,57.958477508650525,0.5853358787734161,49.48096885813149,0.6024281112039137,40.83044982698963,0.6057391719365232,32.871972318339104,0.6021775444457703,26.297577854671275,0.6245048323589071,21.280276816609003,0.662370242,17.47404844290658
0.5338951199140914,65.91695501730104,0.5854999403412481,58.99653979238755,0.6301962772938791,51.38408304,0.6317563536570816,41.86851211072665,0.6471423457821263,34.256055363321806,0.64529889,27.33564013840831,0.6710744541224197,22.318339100346023,0.7141092948335521,18.33910034602077
0.5683987590979597,67.12802768166091,0.6200065624627132,60.380622837370254,0.6750507099391482,52.941176470588246,0.6628146999164778,43.25259515570934,0.6919937954897983,35.640138408304495,0.6832478224555543,28.37370242214533,0.7210923517480015,23.356401384083043,0.7727508650519032,19.550173010380618
0.5977270015511276,68.16608996539793,0.6510559599093187,61.24567474048444,0.7130115737978762,54.67128027681662,0.6955942011693116,44.46366782006921,0.7299486934733326,37.02422145,0.7246480133635604,29.584775086505203,0.7693890943801456,24.567474048442918,0.8193204868154158,20.588235294117652
0.6201586922801575,69.20415224913495,0.6803812194248896,62.110726643598625,0.7630414031738456,56.40138408304499,0.7335520820904428,46.02076124567474,0.7644553155947977,38.4083045,0.7677723422026012,30.79584775086505,0.8159616990812553,25.778546712802765,0.8727896432406634,21.799307958477513
0.640866245,70.24221453287198,0.7097124448156544,63.321799307958486,0.8061687149504831,57.78546712802769,0.7646104283498389,47.404844290657444,0.7972377997852285,39.792387543252595,0.8040031022551009,32.17993079584777,0.8539136141271925,26.98961937716264,0.9193622479417731,23.010380622837374
0.6615737978761485,71.28027682,0.7424829972556974,64.01384083044984,0.8441236129340175,59.169550173010386,0.7973929125402697,48.78892733564015,0.8317474048442907,41.34948096885814,0.8626595871614366,34.256055363321806,0.9022163226345306,28.54671280276817,0.9676619735115142,24.394463667820077
0.6874537644672474,72.31833910034604,0.7683689297219902,65.39792387543253,0.8613828898699439,60.20761245674741,0.8319025175993319,50.34602076124568,0.8610816131726525,42.733564013840834,0.9247703138050353,36.67820069204153,0.9470707552797996,30.103806228373713,1.0056138885574515,25.605536332179938
0.720242215,74.04844290657441,0.7925307242572486,66.78200692041523,0.90279203,61.93771626297579,0.8681362605894284,51.90311418685121,0.8955912182317146,44.29065743944636,0.9782633337310584,39.273356401384085,0.9919251879250686,31.660899653979243,1.055640734995824,27.162629757785467
0.7461251640615678,75.25951557093427,0.8218679155232073,68.33910034602077,0.9390317384560315,63.840830449826996,0.9112665553036631,53.460207612456756,0.9352792029590742,46.19377162629759,1.0352046295191506,41.86851211072665,1.0333313447082688,33.21799307958479,1.1022222885097246,28.892733564013838
0.7685598377281947,76.47058823529413,0.847753848,69.72318339100346,0.9769985681899535,65.91695501730104,0.9509485741558287,55.01730103806229,0.9732400668178022,47.92387543252596,1.0886946665075767,44.29065743944636,1.071292208566997,34.94809688581316,1.1505309628922564,30.79584775086505
0.792721632,77.85467128027682,0.8701885216561269,70.93425605536333,1.0149683808614725,68.16608996539793,0.9889034721393628,56.40138408304499,1.0111949648013363,49.30795847750866,1.1352762200214772,46.02076124567474,1.105801813626059,36.50519031141869,1.2022879131368573,32.69896193771628
0.81170803,79.06574394,0.8943503161913854,72.31833910034604,1.0477657797398878,70.41522491349482,1.0027055244004297,56.92041522,1.054325259515571,50.86505190311419,1.1835789285288154,47.577854671280285,1.143765660422384,38.4083045,1.2540508292566523,34.94809688581316
0.827243169,80.10380622837371,0.920242215,74.04844290657441,1.082284333611741,72.49134948096886,1.0337698365350196,58.650519031141876,1.1009038300918745,52.422145328719736,1.2215368094499464,49.134948096885815,1.1851777830807781,40.31141868512112,1.2971811239708868,36.50519031141869
0.842778308,81.14186851211073,0.9444040090681303,75.43252595,1.1202601121584537,75.08650519031143,1.061382889869944,60.20761245674741,1.1354194010261305,54.32525951557094,1.2491468798472736,50.51903114186852,1.1972556974108102,40.83044982698963,1.3575617468082568,38.58131487889274
